REQUEST,INTENT
"Good day! Are there any single phase equivalent for the following? Surge protection device, XDSE, 480Y/277 VAC, 3 phase, 4 wire",CatalogSelection
Good day! I would like to ask for the difference between HVX VCB and EXE VCB. Thank you!,CatalogSelection
hi do we have a current transformer?,CatalogSelection
"Hi, may I ask if these items are still active, LC1D115R7 LC1D50AX7",CatalogSelection
"I am looking for a magnetic contactor for LC1K1610R7, 16A",CatalogSelection
"BREAKER/SWITCH ELECTRIC, C60HB206, SCHNEIDER, VOLTAGE 440 VAC, AMPERAGE 6 A, POLES 2, TYPE B",CatalogSelection
"Good day, Do you have an ATS Controller for LVSG Thank you",CatalogSelection
I am looking for information about the front panel and rails for an apc smart ups 1500va,CatalogSelection
"Asking to confirm if CVS250F Product has a UVT accessory. If it does, what it the catalog no?",CatalogSelection
is RBC43 the replacement battery for sua2200rm2u,CatalogSelection
4 looking for a 48hr batter back up for security system like ring cameras and wifi rocket hub,CatalogSelection
hi may I know what are the light switch model used for the condominium Parc Esta?,CatalogSelection
Do you have ATS 100ampers?,CatalogSelection
pro 1000 s,CatalogSelection
"Hello, do we sell an 800A, 50ka M frame breaker? I-Line mounted?",CatalogSelection
"Good Morning, ask lang po, meron po bah atyung DC Mini breaker 1000VDC?",CatalogSelection
"Looking for RCBO  40AT, 3P+N, 380V, 10mA Schneider MCCB 30AT, 3P+N, 380V, 10mA Schneider MCCB",CatalogSelection
"METSECTSP5A4160U hi good day! can i have the LP/PMG, thank you",CatalogSelection
"Good Day Maam/Sir, Can I ask what to offer for: 16A DC MCB 2P, also do we have a DC surge protection devices na locally offered?",CatalogSelection
Need a GFCI Outlet,CatalogSelection
I'm looking for an interlock kit for my SC3042M200PF. Which model interlock kit would I need?,CatalogSelection
CT Sensor 600/5A,CatalogSelection
looking for apc avr,CatalogSelection
"Circuit Breaker Magnetic Starter, for 5HP, 3Phase, 60Hz Water Pump",CatalogSelection
"Square D Load Center Cat. No. QOC30MW225, H13E8951 Wants to know what breaker will fit it",CatalogSelection
"Good Afternoon, Please quote, Powerfactor Correction Capacitor 15kVAR, 3phase, 480-600v",CatalogSelection
Need to find the part number to get a new battery.,CatalogSelection
I'm looking for a generator interlock safety switch for a 200 amp vertical L-7 QO panel,CatalogSelection
UL listed replacement for M9 M9F11216 M9F14210 M9F11206 M9F11204 M9F11202,CatalogSelection
Good afternoon. I would like to ask if you have this item: NSYS3D10630P,CatalogSelection
what's the suitable shunt trip accessories and motor charger for a 33472 breaker @230VAC,CatalogSelection
"Good day, Please quote the item SH31001P02F2000 for our reference. Thank you",CatalogSelection
Mechanical Interlock for NW40 fixed type. MTS application,CatalogSelection
